split,pid,ct_path,ms_path,gt_vox,pred_vox,inter,union,dice,iou,gt_empty,dice_zero_gt_present
train,hepaticvessel_001_1,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_001_ventaneo_1.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_001_1.nii,316474,326454,316103,326825,0.9833231568336487,0.9671934247016907,False,False
train,hepaticvessel_001_2,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_001_ventaneo_2.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_001_2.nii,434163,449234,433515,449882,0.9814726710319519,0.9636193513870239,False,False
train,hepaticvessel_002_1,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_002_ventaneo_1.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_002_1.nii,121716,125724,121584,125856,0.9827352166175842,0.9660564661026001,False,False
train,hepaticvessel_002_2,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_002_ventaneo_2.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_002_2.nii,481017,495580,480437,496160,0.9839001893997192,0.9683106541633606,False,False
train,hepaticvessel_004,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_004_ventaneo.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_004.nii,292424,304578,291943,305059,0.9780302047729492,0.9570050239562988,False,False
train,hepaticvessel_005,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_005_ventaneo.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_005.nii,244909,256251,244419,256741,0.9754130244255066,0.9520061016082764,False,False
train,hepaticvessel_010_1,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_010_ventaneo_1.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_010_1.nii,281624,294468,281252,294840,0.9764134883880615,0.9539139866828918,False,False
train,hepaticvessel_010_2,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_010_ventaneo_2.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_010_2.nii,425604,441002,425200,441406,0.9812994599342346,0.963285505771637,False,False
train,hepaticvessel_011,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_011_ventaneo.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_011.nii,382322,395582,381093,396811,0.979794442653656,0.9603891968727112,False,False
train,hepaticvessel_013,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_013_ventaneo.nii,/home/lvelez/PI_Velez/data/32slices/hepaticvessel_013.nii,750286,776988,748357,778917,0.9799904823303223,0.9607660174369812,False,False
